,24km,23km,22km,21km,20km,19km,18km,17km,16km,15km,14km,13km,12km,11km,10km,9km,8km,7km,6km,5km,4km,3km,2km,1km,0km,-1km,-2km,-3km,-4km,-5km,-6km,-7km,-8km,-9km,-10km,-11km
1971-02-01,-9999.0,-9999.0,3.6719999999999997,3.6839999999999997,4.651,5.791,6.837999999999999,8.611,9.814,11.475,13.097999999999999,14.07,14.057,15.948,15.985,14.5,13.630999999999998,13.277000000000001,12.523,10.873,10.785,10.805,8.851,9.265,6.296,2.299,1.557,1.402,1.651,2.011,2.086,2.276,2.559,3.049,3.237,3.877
1971-03-01,4.743,5.263,5.5729999999999995,6.281000000000001,6.47,7.191,8.427999999999999,9.844,11.142000000000001,12.532,14.059000000000001,15.53,16.737000000000002,16.935,16.605,16.975,15.847000000000001,14.114,14.574000000000002,14.722999999999999,10.158,10.472000000000001,10.925,8.597000000000001,5.178999999999999,2.35,2.042,2.138,2.351,2.5810000000000004,2.8510000000000004,3.2880000000000003,3.46,3.418,3.1689999999999996,2.099
1971-04-01,4.949,5.257999999999999,6.314,6.669,7.1129999999999995,7.8229999999999995,8.667,9.585,10.832,11.967,13.482000000000001,14.413,15.782,16.174,16.371,15.773,13.758,12.350999999999999,11.904000000000002,10.501,10.755999999999998,10.934000000000001,11.200999999999999,10.823,7.2170000000000005,3.1069999999999998,2.218,2.262,2.397,2.625,2.9819999999999998,3.2510000000000003,3.6189999999999998,3.8139999999999996,3.11,3.2039999999999997
1971-05-01,5.053999999999999,5.635,6.526,7.103,7.59,8.827,9.119,9.372,10.263,11.029000000000002,12.245999999999999,12.998,13.431,14.183,14.382,13.804,14.049000000000001,13.352,13.152000000000001,12.434000000000001,10.712,9.532,8.884,9.507,6.88,3.471,2.7439999999999998,2.541,2.792,2.932,3.1180000000000003,3.4819999999999998,3.6510000000000002,4.095,3.964,4.329
1971-06-01,4.77,6.104,6.4239999999999995,7.353,8.025,8.835,10.333,11.445,12.049000000000001,12.732999999999999,13.739,13.754000000000001,14.030999999999999,14.321,13.943,12.784,11.635,11.155,10.154,9.884,8.546,8.701,8.476,9.305,6.68,2.9960000000000004,2.5669999999999997,2.461,2.396,2.795,3.048,3.384,3.457,3.597,3.377,2.694
1971-07-01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,17.948,-9999.0,18.448,17.683,15.232999999999999,15.130999999999998,-9999.0,11.522,8.787,3.59,3.011,6.319,4.144,-9999.0,1.913,2.39,2.571,2.955,4.042,4.085,3.21,2.885,2.887
1971-08-01,-9999.0,5.456,6.019,6.675,7.71,8.445,9.876,10.485,11.685,12.626,13.806,13.595,13.437000000000001,12.238,12.534,12.585999999999999,11.502,10.115,8.986,7.648,6.599,4.944,3.6260000000000003,4.125,3.79,2.4330000000000003,2.0780000000000003,1.81,2.001,2.265,2.559,2.812,3.063,3.04,3.02,1.9869999999999999
1971-09-01,4.133,4.754,5.5329999999999995,5.354,6.207000000000001,6.994,7.715,8.891,9.781,10.615,11.445,12.23,12.802,12.925999999999998,12.844000000000001,12.547,12.477,11.776,10.432,8.551,6.694,4.9319999999999995,3.6910000000000003,2.904,2.26,1.3430000000000002,1.155,1.3319999999999999,1.5730000000000002,1.848,2.13,2.4930000000000003,2.742,3.0389999999999997,2.835,3.312
1971-10-01,3.263,3.344,3.787,4.587,4.902,6.0329999999999995,6.761,7.497999999999999,8.399,9.165,10.517999999999999,11.345999999999998,11.758,11.94,11.970999999999998,11.717,11.604000000000001,10.895,9.62,7.84,6.231,4.075,3.1319999999999997,2.338,1.63,0.935,0.948,1.02,1.325,1.5430000000000001,1.885,2.253,2.519,2.8710000000000004,3.0239999999999996,2.8989999999999996
1971-11-01,3.514,4.058,4.433,4.852,4.966,6.697,7.069,8.154,10.017000000000001,10.68,11.684000000000001,12.874,13.347999999999999,13.357999999999999,13.165999999999999,12.674000000000001,11.992,10.847999999999999,10.205,7.7829999999999995,6.917000000000001,7.01,4.965,3.6860000000000004,2.126,1.105,1.46,1.2409999999999999,1.4709999999999999,2.362,2.092,2.3680000000000003,2.617,2.8360000000000003,2.431,2.491
