date,0km_ds,1km_ds,2km_ds,3km_ds,4km_ds,5km_ds,6km_ds,7km_ds,8km_ds,9km_ds,10km_ds,11km_ds
2001-10-01,0.11920196034132183,0.04595325170933387,-0.03688382396114114,0.07342391763017964,-0.038176611572820526,-0.09652971679297981,-0.19870145294746425,-0.17993747089735918,-0.13503905701856958,-0.1790162230067796,-0.2223278434840277,-0.3014288954411432
2001-11-01,-0.004588884701500708,-0.08989215321680905,-0.061190325849131394,-0.09170990140911296,-0.09846438095902123,-0.04568942072341562,-0.004400052800633689,0.07609830815289284,0.01491992406172403,-0.08242522365444115,-0.20774465637879813,0.009582863585118222
2001-12-01,0.038630513890121655,-0.08734052993130517,-0.023393739703459693,-0.04555775641335334,-0.04052211536713511,-0.009693742760176476,0.12424948472085315,0.12742382271468128,0.30432598100788827,0.20570721876145087,0.3376286105108739,0.6210313509870887
2002-01-01,0.05657373538274929,0.016263835554551413,0.006057126453279678,-0.005211474522539305,-0.044040823386957334,-0.11802382347197812,-0.13731172880165096,-0.2022958830851504,-0.3653985150141272,-0.44709786215525216,-0.5664345662772908,-0.10506636980748527
2002-02-01,0.072835539706303,0.016967043277688578,0.007605719501064638,-0.031200738479017408,-0.02370730178627403,-0.027153191034458176,0.03433632381353172,-0.005769945430007384,0.0517139899738182,-0.11040009141681772,0.14893776837466657,0.044188056145923076
2002-03-01,-0.024448246860589672,-0.04652928004857861,0.015495296070835779,0.057905258829701045,0.005643919958953184,-0.04259628208716858,-0.03793553195453731,0.029178351930305952,0.17512147716229365,-0.27028841706330825,-0.14466734563368952,-0.03799570228560269
2002-04-01,0.20037756202804768,0.05255381537971991,0.14368336950559302,0.2947201130143034,0.5886706518645032,0.6271971658264068,1.6406648199445981,1.8152136329958022,2.4875787184559854,2.3544041802388698,1.4863807661117205,
2002-07-01,-0.2891266888095298,-0.00919102900560388,0.035903758499588954,0.09650531568957965,0.06887841251401458,-0.03313098495212027,-0.04238734375720675,-0.2564586528252919,-0.20712012259813742,-0.23876182965299683,0.6223688216786767,
2002-08-01,0.02012633361956408,0.23126491646778027,0.22502645062352192,0.25711091632048977,0.08980047291373305,0.07704731278930607,0.06051500759264622,0.012003079507278755,-0.0007794824996674024,0.4413754514471744,0.3205696202531643,-0.3569583156595843
2002-09-01,0.16523754345307062,0.1887271270201682,0.22564978000048092,0.10372898182043812,0.09095258981618067,0.11396056598058606,0.0773609314359637,0.07754025388800359,-0.08453025665175418,-0.25759184540242075,-0.3306277509079043,
2002-10-01,-0.2037677482143167,-0.0021996077807811282,-0.027676212335530557,-0.01651334852448883,-0.013119805770847011,-0.02991623454327906,-0.033433627617878665,-0.07742965475952916,-0.09899901772767668,-0.2123935974355088,-0.05064662319000756,-0.5105466092084374
2002-11-01,-0.05092110221906926,-0.0496392711044997,0.01052878896900102,0.042085299142619804,0.09020236704955452,0.041493453514122654,0.00382804593655111,0.09211167583373936,0.14311444287591857,-0.10772775390746642,0.02936835042653108,-0.3276211950394589
2003-01-01,-0.06934783844739684,0.0060142308561100585,-0.001205683938567642,-0.00010825021263436865,-0.02387130254281275,-0.04327279828158565,0.03223115092434035,0.06090083444746677,-0.008344832117747537,0.16045621860777165,0.16648317867917264,0.2981135728373848
2003-02-01,-0.06683039243721506,0.06492304885518056,0.03589899604502569,-0.012909181282397502,-0.06551237856471342,-0.051740726223140805,-0.0730914168754902,-0.18602695249085605,-0.1639503967851273,-0.36853833078604176,-0.3002416154433581,-0.6453978559917791
2003-03-01,0.07444679678663636,0.09028805647273154,0.045102379634753935,0.004905783436600365,-0.03059844209151565,-0.06867765465233071,-0.10106204583566265,-0.18435865306203636,-0.3294460641399416,-0.3044269706509897,-0.18400795812510368,0.05191443641336208
2003-04-01,0.011866235167206052,-0.03122087604846187,-0.02109518471702152,0.008387780328447838,-0.03700540848277834,-0.029658899940954758,-0.09950138504155122,-0.1916028649049147,-0.2287177008925201,-0.4031283930510316,-0.429160902542575,-0.35948344094980217
2003-05-01,-0.04805401602211996,0.06594215203486743,0.025733179988499603,-0.03854628405526605,-0.08018600430985594,-0.07921755106451957,-0.04221653649340155,-0.009593045042344244,0.18198661473891178,0.27970812466656325,0.016492357200322043,-0.06256518185149383
2003-06-01,0.1812805348418615,0.3312749080074865,0.19334186939820738,-0.0014625845556697382,0.12235793619050545,0.04063658094428314,-0.05292519471110312,-0.22723472250608487,-0.3216163852753943,-0.5065642542403573,-0.6420094068158968,
