,0km,1km,2km,3km,4km,5km,6km,7km,8km,9km,10km,11km,12km,13km,14km,15km,16km,17km,18km,19km,20km,21km,22km,23km,24km,25km,26km,27km,28km,29km,30km,31km,32km,33km,34km,35km
1996-04-01,2.331,2.952,3.2430000000000003,2.8169999999999997,2.9789999999999996,2.8289999999999997,2.503,2.353,2.131,2.5660000000000003,3.8,7.159,8.579,7.707999999999999,6.855,8.657,10.08,10.536,12.31,11.062999999999999,13.460999999999999,13.489,13.299000000000001,12.38,11.609000000000002,11.449000000000002,10.583,9.566,8.42,7.506,6.731,5.718,5.016,-9999.0,-9999.0,-9999.0
1996-05-01,3.8160000000000003,4.165,4.117,4.102,3.761,3.3360000000000003,3.22,3.54,4.763,5.294,5.877000000000001,7.587000000000001,7.414,7.888999999999999,8.062000000000001,8.07,8.155,10.547,12.536,13.588,14.540999999999999,13.770999999999999,13.755,13.026,12.157,11.79,10.642000000000001,10.187000000000001,9.901,8.932,7.416,6.395,5.742999999999999,4.563,-9999.0,-9999.0
1996-06-01,2.332,2.957,3.6710000000000003,4.343,4.152,3.767,3.437,2.9339999999999997,3.1660000000000004,2.64,2.8289999999999997,4.765,8.504,8.383,6.7860000000000005,6.518,9.296,10.638,10.665999999999999,11.587,12.943,13.57,13.749,13.2,12.663,12.873,12.327,11.629000000000001,10.335999999999999,9.207,8.213,7.178999999999999,-9999.0,-9999.0,-9999.0,-9999.0
1996-07-01,2.365,3.2769999999999997,4.255,3.6839999999999997,3.862,3.247,3.1239999999999997,3.72,3.1689999999999996,2.935,4.0889999999999995,5.938,5.829,4.751,5.321000000000001,5.968,8.328,8.889,8.801,10.865,12.31,12.613,12.796,13.36,13.677999999999999,12.923,12.350999999999999,11.565,10.550999999999998,9.418,8.249,7.271,6.426,-9999.0,-9999.0,-9999.0
1996-08-01,3.4739999999999998,4.163,4.423,4.418,3.9389999999999996,3.966,3.338,3.377,4.149,4.194,4.504,4.73,5.069,4.867,5.371,6.1579999999999995,7.234,9.134,9.552999999999999,9.817,10.694,10.909,10.02,9.169,9.728,10.782,11.208,10.284,9.215,8.102,7.184,6.035,5.337000000000001,4.766,-9999.0,-9999.0
1996-09-01,2.593,3.95,4.058,3.673,3.3810000000000002,3.053,2.668,2.274,1.982,2.306,2.415,2.801,3.6,4.06,4.975,5.742000000000001,6.642,8.517000000000001,9.665,10.719000000000001,11.542,11.76,10.533,10.104,10.732999999999999,11.327,10.909,10.022,9.024,8.173,7.087999999999999,6.2139999999999995,5.367000000000001,4.578,3.852,-9999.0
1996-10-01,2.665,3.5469999999999997,3.0869999999999997,2.9130000000000003,2.739,2.545,2.274,1.9569999999999999,1.824,1.9069999999999998,2.069,2.365,3.063,3.5639999999999996,3.8989999999999996,4.957,6.898,7.671,9.407,10.49,10.911,11.193,11.673,11.648,11.45,10.522,9.775,8.73,7.546,6.375,5.472,4.771,3.764,3.8169999999999997,-9999.0,-9999.0
1996-11-01,2.062,2.622,2.943,3.105,2.844,2.47,2.186,2.07,2.28,3.747,4.662,5.282,4.846,5.231,5.843999999999999,7.381,8.405,9.651,9.872,11.193,11.982000000000001,11.811,11.5,10.797,10.279000000000002,9.097000000000001,7.807,6.377000000000001,5.31,4.297,3.991,3.509,-9999.0,-9999.0,-9999.0,-9999.0
1996-12-01,0.841,2.269,2.544,2.44,2.283,2.075,1.86,1.6019999999999999,1.4569999999999999,1.348,1.382,3.054,4.039,4.87,5.501,7.4239999999999995,8.422,9.692,10.84,12.138,12.578,14.235999999999999,13.725999999999999,12.597999999999999,11.338,9.459,7.992000000000001,6.221,5.004,4.195,3.5610000000000004,2.78,-9999.0,-9999.0,-9999.0,-9999.0
1997-01-01,1.84,3.699,3.695,3.048,2.764,2.676,2.716,3.227,3.0069999999999997,3.1460000000000004,4.033,4.917,6.119,8.681000000000001,8.38,8.083,7.162000000000001,8.631,12.165,13.482000000000001,12.943,13.139000000000001,14.193,13.485,12.422,11.462,10.177999999999999,8.7,7.285,6.007000000000001,4.898,4.508,4.541,3.853,3.465,-9999.0
1997-02-01,2.812,3.5380000000000003,3.4010000000000002,3.117,3.049,2.627,2.075,2.123,2.3080000000000003,3.332,4.566,6.695,8.517999999999999,9.331,9.638,8.182,10.279000000000002,11.449000000000002,13.136,13.807,15.94,14.722999999999999,13.782,13.507,12.417,11.238,9.232000000000001,7.806,6.845,5.87,5.079,4.538,3.885,3.208,-9999.0,-9999.0
1997-03-01,2.86,3.733,3.432,2.992,2.847,2.648,2.151,1.7280000000000002,1.4369999999999998,1.3419999999999999,1.499,2.9010000000000002,5.945,5.3420000000000005,4.89,5.385,6.147,8.846,11.59,13.52,14.84,14.253,13.939,13.407,12.398,11.087,9.87,8.594,7.47,6.343,5.457999999999999,4.773,4.074,3.492,3.055,-9999.0
