,24km,23km,22km,21km,20km,19km,18km,17km,16km,15km,14km,13km,12km,11km,10km,9km,8km,7km,6km,5km,4km,3km,2km,1km,0km,-1km,-2km,-3km,-4km,-5km,-6km,-7km,-8km,-9km,-10km,-11km
1995-01-01,3.048,3.4939999999999998,3.952,4.626,4.953,5.646,5.971,7.362,8.93,10.446,11.474,12.050999999999998,11.743,12.199000000000002,12.655999999999999,12.421,10.543,8.97,9.202,8.302999999999999,8.302,7.721,7.189,5.907,4.495,2.688,2.109,2.201,2.563,2.9560000000000004,2.931,3.0660000000000003,3.161,2.895,3.205,3.6839999999999997
1995-02-01,5.117,5.7410000000000005,5.462000000000001,4.904,6.109,6.746,7.867000000000001,9.238,10.718,12.179,12.909,13.792,14.904000000000002,14.277999999999999,14.790999999999999,13.594000000000001,12.515999999999998,13.696,11.999,11.165999999999999,9.673,8.769,8.87,7.739,5.604,3.7460000000000004,2.551,2.46,2.662,2.7539999999999996,2.7769999999999997,2.559,2.875,2.532,2.6310000000000002,2.741
1995-03-01,6.153,6.542000000000001,6.25,6.922000000000001,7.9910000000000005,8.949,9.797,10.948,11.727,12.925,13.842,14.517999999999999,14.198,14.869000000000002,15.335999999999999,15.311,14.151,13.52,11.994000000000002,10.783,9.481,8.089,8.818,7.562,5.2170000000000005,2.6630000000000003,2.244,2.29,2.496,2.861,2.843,2.8280000000000003,3.3169999999999997,3.2969999999999997,2.972,2.475
1995-04-01,-9999.0,7.335,8.273,8.927999999999999,6.607,6.928,7.263999999999999,8.45,9.68,10.662,11.54,12.562999999999999,13.545,14.127,14.042,14.159,12.731,12.710999999999999,10.216000000000001,10.595999999999998,9.166,9.042,8.512,7.553,4.342,1.9569999999999999,1.992,2.01,2.34,2.673,2.8989999999999996,3.233,3.551,4.1739999999999995,4.405,4.102
1995-05-01,-9999.0,6.522,6.989,7.353,8.179,9.145,10.715,12.052999999999999,12.679,13.357999999999999,13.890999999999998,14.712,14.975,15.669,14.815,13.581,13.207,13.13,10.732999999999999,10.738,10.450999999999999,9.511000000000001,10.594000000000001,9.777999999999999,5.957000000000001,3.24,3.082,2.8310000000000004,2.9810000000000003,3.699,3.884,4.149,4.019,3.7539999999999996,3.4389999999999996,-9999.0
1995-06-01,-9999.0,-9999.0,6.3020000000000005,6.8839999999999995,7.726,8.845,9.502,10.094,9.892000000000001,9.802999999999999,10.790999999999999,11.972999999999999,12.369000000000002,12.429,12.048,11.138,10.629000000000001,9.701,8.749,7.5920000000000005,5.789,7.061,8.423,7.439,5.785,5.09,4.338,4.143,3.762,3.275,3.5380000000000003,3.345,3.528,3.735,3.556,3.28
1995-07-01,-9999.0,-9999.0,-9999.0,-9999.0,6.621,7.626,8.373,9.162,10.068,11.154000000000002,11.998,12.467,12.651,12.878,13.08,12.339,11.382,10.116,8.019,7.103,6.457999999999999,5.437,4.819,4.269,3.7260000000000004,2.7310000000000003,2.335,2.793,3.114,3.2560000000000002,3.585,4.001,3.82,4.199,4.7669999999999995,5.098
1995-08-01,-9999.0,-9999.0,-9999.0,-9999.0,6.747999999999999,7.041,7.54,8.288,9.179,9.83,10.357999999999999,10.931,11.491,11.87,12.169,12.224,11.454,10.902999999999999,9.785,8.437000000000001,7.457999999999999,6.606,5.537000000000001,4.98,4.115,2.283,2.2230000000000003,2.258,2.641,3.073,3.2680000000000002,3.33,3.6239999999999997,3.49,3.8569999999999998,5.005
1995-09-01,-9999.0,-9999.0,5.648,5.814,6.5329999999999995,7.312,8.27,9.059,9.516,10.062000000000001,10.822000000000001,11.765999999999998,12.78,12.675999999999998,12.530999999999999,12.05,11.15,9.771,8.94,7.481,6.126,5.3420000000000005,4.715,4.8069999999999995,4.189,2.9589999999999996,2.373,2.26,2.521,2.685,3.054,3.2430000000000003,3.319,3.2969999999999997,3.05,2.713
1995-10-01,-9999.0,-9999.0,-9999.0,3.2689999999999997,3.779,4.828,5.461,6.07,7.125,8.39,9.701,10.838,11.618,12.207,12.321,12.05,11.363,10.455,9.538,8.105,6.059,4.771,4.146,3.2880000000000003,2.415,1.2209999999999999,1.227,1.247,1.383,1.605,1.829,2.194,2.508,2.8569999999999998,3.11,3.237
1995-11-01,-9999.0,2.506,2.6889999999999996,3.233,3.8289999999999997,4.5360000000000005,5.282,6.351,7.864,9.177,10.637,11.458,11.52,11.277999999999999,11.106,10.558,10.604000000000001,9.334,8.122,6.96,4.138,4.113,4.544,4.257,3.133,1.796,1.6440000000000001,1.8419999999999999,2.162,2.417,2.5980000000000003,2.865,3.111,3.208,2.332,1.01
1995-12-01,-9999.0,2.7760000000000002,3.2030000000000003,3.1719999999999997,3.642,4.325,5.17,5.917000000000001,7.337999999999999,9.017000000000001,10.11,11.738,13.091,13.759,13.967,14.572000000000001,13.843,11.798,10.276,10.479000000000001,9.517999999999999,7.097,6.167999999999999,5.087,3.6460000000000004,2.28,1.949,1.828,1.9880000000000002,2.327,2.64,2.805,2.591,2.73,3.138,2.426
1996-01-01,-9999.0,-9999.0,-9999.0,2.8139999999999996,3.2760000000000002,3.378,4.324,5.1,6.837000000000001,8.581,9.908,12.099,13.427999999999999,13.804,13.023,12.937999999999999,11.655,8.529,8.275,7.355,6.531000000000001,5.681,5.394,4.856,3.341,1.584,1.598,1.6340000000000001,1.824,2.024,2.391,2.7769999999999997,3.0810000000000004,3.176,3.097,3.127
1996-02-01,-9999.0,3.3689999999999998,3.761,4.458,5.601,6.485,7.21,8.267999999999999,8.821,10.287,11.082,12.235,13.027000000000001,13.55,14.022,13.231,13.347999999999999,13.655999999999999,12.376,10.844000000000001,10.017999999999999,9.288,8.536,6.632999999999999,4.287,1.9180000000000001,1.74,2.133,2.246,2.2840000000000003,2.627,2.782,2.801,2.784,2.7089999999999996,2.182
1996-03-01,3.949,4.098,4.465,5.279,6.334,7.224,8.796,9.604,10.515,12.015,13.350999999999999,14.571,15.463,16.141,14.917,14.66,14.165999999999999,12.615,10.27,8.494,7.819,6.935,7.132999999999999,8.75,7.224,4.374,4.128,3.989,3.62,3.838,3.681,4.013999999999999,4.281000000000001,4.176,3.8810000000000002,3.3689999999999998
1996-04-01,-9999.0,-9999.0,-9999.0,4.9,5.67,6.83,7.582999999999999,8.541,9.879,11.085,12.017999999999999,11.943,12.219000000000001,13.027999999999999,13.690999999999999,12.943,11.527999999999999,11.434000000000001,10.564,9.329,9.067,8.44,6.872999999999999,8.57,7.367000000000001,3.4019999999999997,2.23,2.241,2.3369999999999997,2.526,2.7960000000000003,2.844,2.8310000000000004,3.167,3.11,2.611
1996-05-01,-9999.0,-9999.0,-9999.0,6.347,6.487,6.9910000000000005,8.357999999999999,9.172,9.917,11.152000000000001,11.633,12.245,13.503,13.717,14.365,14.501,14.055,12.939,10.02,9.488,9.555,7.436,8.392000000000001,8.455,7.544,4.802,4.452,3.199,3.3810000000000002,3.5269999999999997,3.801,3.469,3.403,3.655,3.897,3.6039999999999996
1996-06-01,-9999.0,-9999.0,-9999.0,6.81,7.391,8.0,9.078,10.205,11.273,11.89,13.741,13.375,12.338,12.979000000000001,13.511,13.52,11.824000000000002,11.300999999999998,10.364,9.372,7.531000000000001,6.282,7.97,8.861,5.425,2.7230000000000003,2.419,3.033,3.429,3.303,3.697,3.8739999999999997,3.908,3.9760000000000004,3.2569999999999997,3.011
1996-07-01,-9999.0,-9999.0,6.566,7.374,8.206,8.899,9.462,10.597999999999999,11.437000000000001,12.294,13.255999999999998,13.498,13.174000000000001,12.84,12.578,11.860999999999999,10.704,9.53,8.419,7.945,6.6339999999999995,5.052,4.859,5.848,7.098,3.054,2.434,2.8810000000000002,3.319,3.675,3.391,3.781,3.928,4.013999999999999,3.181,2.246
1996-08-01,-9999.0,4.895,5.647,6.232,7.178999999999999,7.721,8.218,8.821,9.885,10.754000000000001,11.091,10.089,9.394,9.804,10.319,10.263,10.793,10.012,9.005,7.805,6.9110000000000005,6.0120000000000005,5.0569999999999995,5.266,5.901,4.018,3.542,2.8689999999999998,2.815,3.319,3.714,4.277,4.033,4.062,3.793,3.6839999999999997
1996-09-01,4.742,4.843,5.7,6.115,6.755,7.21,8.013,8.986,9.718,10.243,10.317,10.802,11.387,11.317,10.862,10.713,10.458,9.171,9.091000000000001,7.997999999999999,6.063,4.6819999999999995,4.502,3.323,3.069,1.905,2.1390000000000002,2.301,2.342,2.5069999999999997,2.972,3.2760000000000002,3.5589999999999997,3.633,3.779,3.688
