,linear_pre,linear_post,post_const,pre_const,gap_const,enso,qboA,qboB,solar
1980-06,-1.658624064833638,0.0,0.0,1.0,0.0,0.9109999999999999,1.1300814027540274,-0.8895898990683959,1.7100843963326686
1980-07,-1.6504103438126723,0.0,0.0,1.0,0.0,0.769,0.864033419575892,-1.084492005599985,1.5263651624419419
1980-08,-1.641922832091008,0.0,0.0,1.0,0.0,0.32899999999999996,0.741195150500211,-1.1650154690803096,1.0816880210976416
1980-09,-1.6334353203693435,0.0,0.0,1.0,0.0,0.263,0.5685264806118127,-1.1519923214875043,1.4186608483833658
1980-10,-1.625221599348378,0.0,0.0,1.0,0.0,0.192,0.4242144397014703,-1.1968133283025928,1.7875491729657615
1980-11,-1.6167340876267136,0.0,0.0,1.0,0.0,0.248,0.19559499325972335,-1.1741650073495873,2.0157431138693775
1980-12,-1.6085203666057482,0.0,0.0,1.0,0.0,0.111,0.040246625498680355,-1.2078362460684418,2.13138900690033
1981-01,-1.6000328548840836,0.0,0.0,1.0,0.0,-0.25,-0.09468151529648018,-1.2249879570649638,1.0526675754838852
1981-02,-1.5915453431624196,0.0,0.0,1.0,0.0,-0.14,-0.1622471471786847,-1.2002686916521756,1.7149206377769761
1981-03,-1.5838792035428517,0.0,0.0,1.0,0.0,0.455,-0.3742719928540473,-1.1506070036417562,1.7944021938576844
1981-04,-1.5753916918211872,0.0,0.0,1.0,0.0,0.669,-0.6615625870134291,-1.0540067460163662,2.2602700878987463
1981-05,-1.5671779708002218,0.0,0.0,1.0,0.0,0.18899999999999997,-0.8529758894437218,-0.3407609697389096,1.7017465542474965
1981-06,-1.5586904590785573,0.0,0.0,1.0,0.0,-0.024,-0.9001715650877551,0.13444025859060232,0.8983184311299718
1981-07,-1.550476738057592,0.0,0.0,1.0,0.0,-0.026000000000000002,-0.918423783550134,0.3688890080273434,1.6861524352791395
1981-08,-1.5419892263359274,0.0,0.0,1.0,0.0,-0.09,-0.9467788642257625,0.4748006816951826,2.288379128353068
1981-09,-1.533501714614263,0.0,0.0,1.0,0.0,0.174,-1.014764124579633,0.5324539920928529,2.200511279529276
1981-10,-1.5252879935932975,0.0,0.0,1.0,0.0,0.10099999999999999,-1.075892068867479,0.5357543439366008,2.2199887770030564
1981-11,-1.5168004818716332,0.0,0.0,1.0,0.0,-0.039,-1.1606519619527516,0.5857240507576298,1.7973019074595729
1981-12,-1.5085867608506676,0.0,0.0,1.0,0.0,-0.126,-1.0457658603638202,0.7891338105236946,1.7542630714907035
1982-01,-1.5000992491290033,0.0,0.0,1.0,0.0,-0.258,-0.9550943126383359,0.8916952937751335,1.1470714347093611
1982-02,-1.491611737407339,0.0,0.0,1.0,0.0,-0.125,-0.7377341121940675,1.158703057154511,1.917996325745262
1982-03,-1.4839455977877711,0.0,0.0,1.0,0.0,0.1,-0.7105557279627465,1.3237992421945346,1.9052393174668547
1982-04,-1.4754580860661068,0.0,0.0,1.0,0.0,0.008,-0.5495900559313243,1.5348232444040928,0.9215138089855955
1982-05,-1.4672443650451412,0.0,0.0,1.0,0.0,0.44299999999999995,-0.05931824544655279,1.6469725890887685,0.5956130392633531
1982-06,-1.458756853323477,0.0,0.0,1.0,0.0,0.93,0.5723130319547259,1.5305127583542837,1.2343985009321576
1982-07,-1.4505431323025113,0.0,0.0,1.0,0.0,1.6119999999999999,0.9923995380548518,1.1839683915331076,0.9622496569812604
1982-08,-1.442055620580847,0.0,0.0,1.0,0.0,1.778,1.4406913800974697,0.5878984041961286,1.1194495647878306
1982-09,-1.4335681088591827,0.0,0.0,1.0,0.0,1.7830000000000001,1.4431986249823638,-0.03672676189533017,1.0106100734590624
1982-10,-1.425354387838217,0.0,0.0,1.0,0.0,2.001,1.319763353813808,-0.42974110558958795,0.87623725190916
1982-11,-1.4168668761165528,0.0,0.0,1.0,0.0,2.394,1.2992567578528524,-0.5680633608052864,0.9373386929431708
1982-12,-1.4086531550955872,0.0,0.0,1.0,0.0,2.425,1.2728925452854012,-0.9120032631517809,1.576294314654528
1983-01,-1.400165643373923,0.0,0.0,1.0,0.0,2.677,1.0486134931287927,-0.9976097008886753,0.37526743895263004
1983-02,-1.3916781316522584,0.0,0.0,1.0,0.0,2.931,0.7997202947741678,-1.1886114861165586,-0.018461587889032644
1983-03,-1.3840119920326905,0.0,0.0,1.0,0.0,3.008,0.44042739515419344,-1.2832727592382043,-0.0675216252071622
1983-04,-1.3755244803110263,0.0,0.0,1.0,0.0,2.812,0.20920540413694375,-1.336203955516046,-0.012154344511291418
1983-05,-1.3673107592900606,0.0,0.0,1.0,0.0,2.498,-0.46533029168911144,-1.1583331006023248,0.42736438348817096
1983-06,-1.3588232475683963,0.0,0.0,1.0,0.0,2.235,-1.0144470764108195,-0.7404740527624698,0.48997861722927577
1983-07,-1.3506095265474307,0.0,0.0,1.0,0.0,1.7930000000000001,-1.2332157538168187,-0.5052439588236803,0.18813801133235195
1983-08,-1.3421220148257664,0.0,0.0,1.0,0.0,1.159,-1.3028438524148882,-0.43654800379497477,0.1537330493035108
1983-09,-1.333634503104102,0.0,0.0,1.0,0.0,0.45899999999999996,-1.2197925009102413,-0.13192320881780378,-0.22192438162927403
1983-10,-1.3254207820831365,0.0,0.0,1.0,0.0,0.024,-1.2218074478341896,-0.058863153871631636,-0.18870820893882945
1983-11,-1.316933270361472,0.0,0.0,1.0,0.0,-0.132,-1.2631491503612962,0.2940803055030463,-0.650324995520907
1983-12,-1.3087195493405068,0.0,0.0,1.0,0.0,-0.17,-1.31806669939293,0.324175518846136,-0.648140323836149
1984-01,-1.3002320376188423,0.0,0.0,1.0,0.0,-0.314,-1.2635300998199723,0.538940059489616,-0.17346373389352904
1984-02,-1.291744525897178,0.0,0.0,1.0,0.0,-0.509,-1.226405334817912,0.5665717388552634,0.36293103681220784
1984-03,-1.2838045955769113,0.0,0.0,1.0,0.0,0.151,-1.3078057496712394,0.4220316868820208,0.008630821234722683
1984-04,-1.275317083855247,0.0,0.0,1.0,0.0,0.39,-1.1825584972129957,0.7874456614732961,0.19985574467374612
1984-05,-1.2671033628342814,0.0,0.0,1.0,0.0,0.18,-1.0526427738252042,1.3526180367312908,0.2319833592837402
1984-06,-1.258615851112617,0.0,0.0,1.0,0.0,-0.049,-0.6481557953062195,1.7979073915273365,-0.3681058439405663
1984-07,-1.2504021300916515,0.0,0.0,1.0,0.0,-0.054000000000000006,-0.24282359880038648,1.910310280831934,-0.6124067148996902
1984-08,-1.2419146183699872,0.0,0.0,1.0,0.0,-0.155,0.2246685542833468,1.9264611547553658,-0.7517747826303393
1984-09,-1.2334271066483227,0.0,0.0,1.0,0.0,-0.12,0.6122255372773138,1.8849083930662793,-0.8995762617851298
1984-10,-1.2252133856273573,0.0,0.0,1.0,0.0,-0.006,0.8158793767931458,1.6706004722948318,-1.0269445500764502
1984-11,-1.2167258739056928,0.0,0.0,1.0,0.0,-0.35,1.2978628471061497,1.0827664670868653,-0.9935861888572951
1984-12,-1.2085121528847274,0.0,0.0,1.0,0.0,-0.585,1.6151273243469486,0.7403296657272063,-1.017713950507737
1985-01,-1.2000246411630628,0.0,0.0,1.0,0.0,-0.546,1.5333096274980809,0.25175676332624397,-1.0482728293829469
1985-02,-1.1915371294413986,0.0,0.0,1.0,0.0,-0.5760000000000001,1.1854216802903397,-0.07289804072958325,-1.0528856317107103
1985-03,-1.1838709898218307,0.0,0.0,1.0,0.0,-0.696,1.4447085015711003,-0.3891296816613105,-1.0382730131835076
1985-04,-1.1753834781001662,0.0,0.0,1.0,0.0,-0.46799999999999997,1.4121767212632275,-0.7041818401126012,-0.9700295122811795
1985-05,-1.1671697570792008,0.0,0.0,1.0,0.0,-0.706,1.3518895662424384,-0.8061822212456752,-0.8323327425027457
1985-06,-1.1586822453575363,0.0,0.0,1.0,0.0,-0.166,1.1108687551987253,-0.7125505112465065,-0.9091868077502316
1985-07,-1.1504685243365709,0.0,0.0,1.0,0.0,-0.126,0.7580107557754988,-0.9184840826607256,-0.848696078101828
1985-08,-1.1419810126149064,0.0,0.0,1.0,0.0,-0.365,0.6515091268912175,-0.8955247104854671,-1.0224691078613168
1985-09,-1.133493500893242,0.0,0.0,1.0,0.0,-0.535,0.5191123024038155,-1.0267837645863462,-1.0883187133704455
