date,925hPa,850hPa,700hPa,500hPa,400hPa,300hPa,250hPa,200hPa,150hPa,100hPa,50hPa,30hPa,20hPa,10hPa,925hPa_ds,850hPa_ds,700hPa_ds,500hPa_ds,400hPa_ds,300hPa_ds,250hPa_ds,200hPa_ds,150hPa_ds,100hPa_ds,50hPa_ds,30hPa_ds,20hPa_ds,10hPa_ds
1970-09-01,2.783,3.155,3.269,2.676,1.933,1.959,1.641,1.815,2.116,5.71,12.626,12.627,11.416,7.291,-0.1730049935723098,-0.16174754814190168,-0.08411294645032384,-0.09920088985159382,-0.2127039781832994,-0.09461373843325205,-0.3079440751776301,-0.39950804108288485,-0.42640619935767127,-0.09227260160353908,0.08251634596029243,0.05324027482361118,0.062475594680500186,0.0889155844155844
1970-10-01,2.988,3.457,2.9560000000000004,2.271,1.703,1.0759999999999998,1.361,2.388,3.274,6.332999999999998,13.294,13.2,10.688,6.246,-0.03378810708167344,-0.04744623971108984,-0.1392922634683055,-0.15247737017627444,-0.2415188386020771,-0.4471192740789329,-0.36848912056233457,-0.13963756784104503,-0.08552377443260477,0.0456222072337914,0.14380435797408955,0.08659481082671575,0.012190551415917667,-0.003736471833925727
1970-11-01,2.3,2.591,2.943,2.093,1.558,1.324,1.836,1.987,2.508,5.68,12.669,14.287,11.629,6.026,-0.20193732605631273,-0.2585668296172648,-0.1181802292192064,-0.1871121216289476,-0.284863205607566,-0.3885173817244133,-0.283745123537061,-0.413323491419081,-0.4481114559599507,-0.2278237226690835,0.03049744541318215,0.11088684529816659,0.09615124040461148,0.08170935568195845
1970-12-01,2.136,3.1,2.523,1.883,1.4269999999999998,1.472,2.153,3.542,6.098,8.267000000000001,12.866,13.932,11.906,6.54,-0.22537920595376987,-0.0706101646310465,-0.20699951487157764,-0.24301507537688435,-0.323550325127011,-0.28447036943105924,-0.1253764295491676,0.009823548005230628,0.16343637366602642,0.04545454545454566,-0.02015853989655859,0.011285741336867973,0.0650720029559622,0.13271057595644464
1971-01-01,2.344,1.6869999999999998,1.529,1.53,1.052,2.377,4.024,5.757999999999999,7.684,13.222,15.958,16.637999999999998,13.276,6.596,-0.18971360722632613,-0.4969956636439653,-0.5214039289869964,-0.3819484693608726,-0.4948221145815936,0.1498186024501813,0.4102732107211971,0.2036773627692014,0.1567403761507218,0.47343175398390464,0.05817552266001262,0.12216836308293222,0.12821498113779176,0.11550410111801901
1971-02-01,2.551,3.791,3.12,2.236,1.65,1.589,3.3280000000000003,5.393,9.488,6.815,16.212,15.566,12.953,5.972,-0.17887367390458822,0.033122508998830374,-0.1049325531775014,-0.17389162561576343,-0.30680763911985587,-0.379675491033305,-0.11971256640289181,-0.16791544922421178,0.07404228022677738,-0.3415048040437305,-0.020843268435880295,0.032911644393325154,0.13961842435315208,-0.04749235608916828
1971-03-01,2.485,3.286,3.789,2.653,2.096,2.905,4.686,8.103,11.380999999999998,12.645,17.551,15.623,11.872,6.146,-0.23986260427354245,-0.1507809597648237,0.015993609259869573,-0.10250338294993232,-0.18294554756974038,-0.000301114122252396,0.08141581007144436,0.11623421908317857,0.2489123501695201,0.2320783710322737,0.08082227106001519,0.08763232741053803,0.08284323878546491,-0.022138839260558228
1971-04-01,2.46,3.5660000000000003,4.002,2.87,2.443,2.289,3.884,8.769,11.713,10.505999999999998,16.625999999999998,15.11,11.876,6.948,-0.3048842945529254,-0.13817896199625404,-0.0096408648938474,-0.09973729267686987,-0.1295207553892748,-0.28033955145671763,-0.18309686352522603,0.10421683902346877,0.26073892023285233,0.029291521154760598,0.05509568666336128,0.0912012421351002,0.07787664835060927,0.0033484661137036524
1971-05-01,3.465,4.459,4.044,3.283,2.651,2.603,4.221,8.508,9.736,10.077,14.429,13.332,10.568,7.297999999999999,-0.11699591732720313,-0.016970793700367928,-0.04402813072513451,-0.037296336345142504,-0.10261708474671906,-0.1487262643674244,-0.024549004126004303,0.15023166077539474,0.11996548997052273,0.07407325164654112,0.015466766758107636,0.012688355134685287,-0.05553083380966669,-0.04455857364560986
1971-06-01,2.059,3.3,3.606,3.275,2.889,2.7260000000000004,4.002,7.785,8.419,9.143,14.066,13.884,11.91,7.0379999999999985,-0.4688650397416123,-0.23073934496289678,-0.12821339350471447,-0.07833020637898687,-0.06741897953556565,-0.08781127129750985,0.05251738251393043,0.24223767668842996,0.16853126834360332,0.10977817788252447,0.06578436417708772,0.07187524125685192,0.01112685248563383,-0.06947072676940885
