date,24km,23km,22km,21km,20km,19km,18km,17km,16km,15km,14km,13km,12km,11km,10km,9km,8km,7km,6km,5km,4km,3km,2km,1km,0km,-1km,-2km,-3km,-4km,-5km,-6km,-7km,-8km,-9km,-10km,-11km,24km_ds,23km_ds,22km_ds,21km_ds,20km_ds,19km_ds,18km_ds,17km_ds,16km_ds,15km_ds,14km_ds,13km_ds,12km_ds,11km_ds,10km_ds,9km_ds,8km_ds,7km_ds,6km_ds,5km_ds,4km_ds,3km_ds,2km_ds,1km_ds,0km_ds,-1km_ds,-2km_ds,-3km_ds,-4km_ds,-5km_ds,-6km_ds,-7km_ds,-8km_ds,-9km_ds,-10km_ds,-11km_ds
1969-11-01,3.263,3.883,4.585,5.312,5.891,6.752000000000002,7.903,9.036,10.334,11.332,12.058,13.437,14.126,14.387,14.505,15.127,14.036,12.203,11.505,10.666,7.882999999999999,5.903,5.257999999999999,4.705,3.039,1.75,1.602,1.8,2.06,2.276,2.635,3.016,3.326,3.312,3.451,-9999.0,-0.11854883369126258,0.0032052575912932557,0.07480382964023104,0.13177518692306547,0.12209038056112301,0.1241454066270397,0.14000153456610118,0.1268776119402985,0.12326341318707688,0.08632618095781998,0.06488273639008017,0.10144234545932695,0.11484013534976857,0.12474225796679403,0.1525167851893051,0.24740973366341207,0.2175748550609394,0.15876934764029996,0.24609635900861063,0.3418532361127857,0.2300810444427826,0.11791743767187335,0.138141428899982,0.15182765426809655,-0.008914012392651263,-0.13388668350775873,-0.13992349506744498,-0.08044998350344297,-0.03819778808835967,-0.04833750010888798,-0.0012555373936939894,0.037242960521602066,0.06715150866967018,0.03457566232599898,0.07001398564492288,
1969-12-01,4.005,4.126,4.53,4.975,5.2970000000000015,5.924,6.7,7.82,9.109,10.628,12.220999999999998,13.864,14.696,15.348,15.707,15.545,14.309,13.768,12.632,11.970999999999998,9.914,7.6389999999999985,5.7170000000000005,5.393,3.606,2.069,1.645,1.462,1.666,1.946,2.233,2.422,2.714,2.822,2.403,1.899,0.12072756346192273,0.06384990245034422,0.062312470310931296,0.04555629410959716,-0.01149553987981892,-0.0010154666197425615,-0.02460946400992478,-0.01911488015706374,-0.00406678947055684,0.02872677995774751,0.05065777546859124,0.09194512742190666,0.0928266358871895,0.11457055577920355,0.13525013237634753,0.1656532724753443,0.16212150638252792,0.20921813842482131,0.23674442363357737,0.3605896334804286,0.3367844056866483,0.19872415910486438,0.04074622258455176,0.17122893158963223,0.1312864021387749,0.02038103202427261,-0.09470485488000392,-0.22313094908049178,-0.1816065440721043,-0.1395257182955083,-0.1106897656337931,-0.11985716994248877,-0.08875653265598084,-0.08455451968237412,-0.22111908905784278,-0.3578941952176884
1970-01-01,3.373,3.562,4.432,5.609,5.884,6.896,6.872999999999998,7.7570000000000014,8.654,9.76,11.11,13.17,14.11,15.874,15.809,15.561,14.851,13.91,12.629,11.321,8.892999999999997,8.456,7.92,6.617000000000001,4.0280000000000005,2.248,1.649,1.6780000000000002,1.628,1.717,2.024,2.192,2.297,1.9,1.2990000000000002,1.266,-0.13896278382372684,-0.16610740873690966,-0.03246228742331954,0.0884970529565209,0.029853892939683654,0.057121055213386306,-0.08645297352859532,-0.10460967102456634,-0.1259910114629097,-0.12804676727067915,-0.1185429207126718,-0.04842684610563709,-0.04688901909129509,0.03679891862266394,0.03420548892004983,0.04945350584613135,0.07624758171746934,0.11140832349058588,0.13610788970874424,0.1649985458938278,0.032003673131647196,0.10901522495295646,0.14813717642461416,0.11969776672564705,0.07871081924456268,0.06550164346580646,-0.09902483638393635,-0.10042538313618082,-0.20866487029111846,-0.23999499629533405,-0.20301318267419968,-0.2185564933001636,-0.23842816162373318,-0.393451496939498,-0.5772740778471073,-0.5660486586127573
1970-02-01,4.204,4.928,5.683,6.134,7.18,8.184,9.652,10.819,12.686,13.956,15.548,16.811,17.374000000000002,18.131,17.887999999999995,16.5,15.299,16.039,14.613,14.507,13.285,12.178,9.807,8.227,5.05,3.123,2.391,2.166,2.016,2.146,2.24,2.109,1.868,1.3159999999999998,0.878,-9999.0,-0.01258476342008552,0.06367364558601336,0.12138987550676299,0.09582678290696003,0.13820260721452987,0.1686207074650538,0.2158908163046507,0.20044807902055323,0.2310910142054839,0.19605043625721422,0.18692227854721605,0.15436049588999562,0.12166306207430858,0.11191062685895935,0.09505377550877228,0.031103658465139662,0.019385413673483842,0.16347413711026587,0.19459639896178926,0.31212831548242664,0.3083862866475577,0.2931759958586087,0.14670180968690413,0.1080694311160497,0.08725392133556394,0.25135859357391493,0.1379505230281097,0.00519186704179604,-0.13882956001708677,-0.17844666698569184,-0.2173932031414908,-0.31909627168349336,-0.43007150802478944,-0.609169373549884,-0.7372730282425446,
1970-03-01,5.4220000000000015,6.7170000000000005,6.895,7.487999999999999,8.399,9.301,9.986,11.5,12.714,14.358,15.772,17.105,17.602999999999994,17.227999999999998,16.299,16.834,16.535999999999998,14.011,12.475,12.295,13.125,12.894,12.892,10.185,6.106,3.563,2.679,2.298,2.624,2.681,2.693,2.557,2.2,1.702,2.506,1.536,0.1841326777099069,0.3187872650429354,0.26621823617339313,0.27916813666326235,0.2978318605437248,0.2809126094927685,0.22253848743610935,0.2554328172867639,0.24467069678650968,0.25340137600913737,0.24443538537658216,0.23200105637818347,0.18009103364669463,0.10080575918809069,0.028201037200976668,0.07790057828143028,0.12245293344853966,0.041326152998120314,0.029267429048786948,0.13737718693026116,0.31706307477782414,0.35581220097790084,0.3902634647399389,0.23531908872223004,0.15751268734819604,0.2978683038255183,0.13941413103191602,-0.02660630609165265,0.020713799474861516,-0.05070742538469484,-0.12448270490304318,-0.23497512995998368,-0.3740367516301125,-0.5269977651431814,-0.2962156848978446,-0.5494142164801653
1970-04-01,5.561,5.859,6.492000000000001,7.422999999999999,8.299,9.128,9.884,11.034,11.848,13.168,14.377,15.253,16.123,17.016,16.21,16.707,17.063,17.195,15.461,14.998,11.577,11.251,11.549,10.358,5.809,3.732,3.124,3.148,3.36,3.014,2.879,2.66,2.887,2.9210000000000003,2.773,3.406,0.06489792136393108,0.07348980377068094,0.0790693457541449,0.12911953654708117,0.13953228920832442,0.1434655976950299,0.12312598095265141,0.12871135207017367,0.10953211513924205,0.12683850402376098,0.1322961412121431,0.11236641314157415,0.10519190453613315,0.12451365081987509,0.0523539603257363,0.1057373319544985,0.2031554360759772,0.32520893042075083,0.3211942105356856,0.4252222752352425,0.17102035655582243,0.1928066897255462,0.2165726286959557,0.15940460838519976,-0.005691300440754808,0.2582779596251916,0.25808156656123366,0.2166183574879226,0.19614634399590583,-0.02209664663615886,-0.14100300852830758,-0.2651849123493594,-0.2579518923897445,-0.2637797136150973,-0.28229959182352976,-0.0673443891085212
1970-05-01,5.4860000000000015,6.414,6.417999999999998,6.917999999999998,6.938,7.441,8.013,9.202,10.257,11.015999999999998,12.061,13.651,15.371,16.299,17.765,16.733,14.34,12.515,11.401,10.84,10.947,10.456,11.779000000000002,10.417,5.809,2.337,2.09,2.273,2.732,2.952,3.358,3.721,4.1610000000000005,4.121,3.407,3.4930000000000003,0.020398040796082074,0.10200860138846381,-0.017320010061719297,-0.03612179135626457,-0.11114432587958345,-0.12481775612768234,-0.13385848049614243,-0.08204516453507464,-0.05280108353325716,-0.0449676248272873,-0.015158912559391169,0.05371426366013443,0.1331471908145117,0.16398737746064365,0.26422160349413365,0.21306731509869958,0.09439194087943117,0.03780153030462717,0.0467735919433048,0.12136239323975706,0.20737860865249405,0.16758869373037102,0.3155045126584781,0.18114108751266716,-0.03640705401790795,-0.23159228687878888,-0.21171737490570794,-0.16003418250687118,-0.056996159986193264,-0.07181365003046006,-0.02967257228513122,-0.0035871487467294895,0.033446477357396975,-0.016726896750557812,-0.1820991667750293,-0.15326343857948002
1970-06-01,5.048,5.064,5.909,6.8020000000000005,7.47,7.9529999999999985,9.22,10.524,10.598,11.781,12.48,13.068,14.142,14.589,15.028,14.566,12.189,10.896,10.219,9.33,8.886000000000003,9.181,8.52,8.591000000000001,7.106,4.513,4.276,3.544,3.193,3.144,3.2460000000000004,3.622,3.803,4.058,4.864,4.587,-0.023082336382828937,-0.09664989831959761,-0.0641548752787214,-0.040472953910077034,-0.04099186827534777,-0.07749635705016537,-0.02202952738940474,0.019269494473387945,-0.050299917669659126,-0.007799162357680578,0.004576471002547255,0.02163089206052947,0.08548730643025729,0.10075199315912572,0.13901696499627364,0.14327388320478016,0.030007376409924052,0.01818493304027736,0.051858237424650885,0.06506596017418143,0.1163141282329112,0.20511593437996486,0.0968780173801095,0.08411480310116654,0.21952597349198563,0.4896233032140938,0.6066128123238775,0.2857563962057368,0.08347472005429234,-0.01734006185902656,-0.07369071895269395,-0.02572206717998724,-0.022197463147068972,0.007890964974464202,0.19370507091509606,0.13076614932670466
1970-07-01,4.755,5.046,5.968,6.928,7.457999999999998,8.64,9.71,10.786,11.529000000000002,12.449000000000002,12.901,13.512,13.953,13.839,13.458,13.434,12.07,10.571,9.046,7.559,6.89,6.301,7.284,6.6179999999999986,4.726,2.588,2.427,2.218,2.352,2.658,2.98,3.117,3.623,3.577,3.716,3.444,0.002331146849851875,-0.10465855040609921,-0.017324628742061924,0.03128758172494984,-0.008018545261078017,0.024405173863771303,0.03463229208482645,0.04730033352075542,0.03234970898286472,0.04635938935475684,0.04101570021952061,0.05964570823597359,0.07639763096160646,0.06443838613463702,0.06453909379202236,0.09446908662985433,0.06245011971268963,0.0454835164835165,0.004922533055525268,-0.024141492383165316,-0.010585032884764471,-0.016145150209231247,0.1714712546729475,0.046044797875665726,-0.09314582498273032,-0.1297004842470256,-0.08271916713910216,-0.1810461538461539,-0.20202058280242785,-0.17440881293226052,-0.13739313902701034,-0.15111810451780805,-0.05134441606200417,-0.0902848423194303,-0.07847967331823393,-0.1536142604364638
1970-08-01,4.154,4.862,5.579,6.147,6.956,7.916,9.01,10.405,11.431,11.925,12.182,12.425999999999998,11.861,12.556,12.739,12.408,11.772,11.34,9.854,8.026,6.667999999999998,5.664,4.665,4.787,4.07,2.454,1.93,2.086,2.563,2.733,2.9810000000000003,3.032,3.4930000000000003,3.967,4.039,3.739,-0.05898343480107599,-0.006986698891148686,-0.03878098095156056,-0.06255649165876251,-0.044645671994930684,-0.0010095911155980717,0.024425450716549172,0.07057860408521134,0.07334209709815954,0.04850193529889638,0.026495306901528952,0.02216555406732087,-0.03495153698475025,0.020027828431668872,0.047140591032549174,0.05383222560744197,0.05967728034474503,0.12429992300471451,0.1097139324641965,0.04488708287975339,0.02100348917898408,0.018864891552708134,-0.07447509054529788,-0.02337927292457943,-0.0011174701311719838,-0.06164422568441586,-0.17739024766257672,-0.14582679909391885,-0.040373140867847115,-0.059235822731966606,-0.07280223416364426,-0.11211354658625007,-0.036323293750256565,0.057182871787893254,0.0331103842742001,-0.08129796532903948
1970-09-01,4.641,4.654,5.1720000000000015,5.851,6.653,7.295,7.902,8.529,9.682,10.294,11.529000000000002,11.803,12.17,12.909,13.119000000000002,12.699000000000002,12.532,11.175999999999998,10.146,8.079,6.527,4.7,3.958,2.9930000000000003,2.2880000000000003,1.459,1.391,1.618,1.694,1.818,2.132,2.2430000000000003,2.675,3.092,3.138,3.3080000000000003,0.13305664062499997,0.011223005271411632,0.01699485940616333,0.012685426745354297,0.04207723415162043,0.03565603379467645,0.017357942109675006,-0.008335249631166575,0.026870835680397158,0.007613164248580836,0.05744771921242542,0.036774366025053656,0.030649591657891176,0.07501384921195295,0.0985197104952748,0.08058002970811702,0.11096935579919497,0.07298258502947011,0.1027348872375866,0.032778548184049024,0.004704921763107646,-0.10396047810878464,-0.12266533027505241,-0.24890891633570456,-0.2663650748286991,-0.2926880677866069,-0.27927461139896387,-0.21566395835309254,-0.24529544508043521,-0.2718248785329919,-0.22648831119664328,-0.25868820186373326,-0.17879071009076344,-0.10643136712884738,-0.11644590260264914,-0.061542920929773516
1970-10-01,4.354,3.734,4.15,4.255,5.034,5.466,7.132999999999999,7.262,8.482000000000001,9.498,10.77,11.582,12.356,12.424,12.895,13.178,12.583,12.2,11.45,10.006,7.277,4.774,3.98,3.974,2.602,1.291,0.953,0.995,1.2990000000000002,1.588,1.956,2.435,2.521,2.805,2.992,3.19,0.091501629481073,-0.14935947573449565,-0.12493871935308709,-0.18021658967592202,-0.1088016935170991,-0.13633865516199056,0.007470408523573106,-0.08486073722933052,-0.04979442014563368,-0.04155564763902523,-0.0010203135145162075,0.004864266408647492,0.032799859147164614,0.024614844709598103,0.06627433386993203,0.11904357535439532,0.12459306305621032,0.18165406840157242,0.26448286962303974,0.3305775770847834,0.20376666525883064,-0.016476941486913557,-0.018196895977998048,0.08405931686932276,-0.10392227261736411,-0.3322585260099705,-0.46747116870764477,-0.4594266558779331,-0.3623707571801567,-0.30529157164797316,-0.24073967013817194,-0.14685601401468545,-0.1841030690730806,-0.13993541442411214,-0.11420742653774688,-0.044885842421771696
1970-11-01,3.753,3.637,3.875,4.738,6.164,6.864,8.177999999999999,9.227,10.607,11.803,12.691,13.373,13.78,13.377,12.769,12.081,11.469,9.882,10.018,9.123,5.734,4.76,3.678,2.736,1.809,1.162,1.289,1.304,1.561,1.9,2.2,2.687,2.8510000000000004,2.716,2.591,2.613,0.013817415616516013,-0.06035088285873459,-0.09163253220154956,0.009478696468652938,0.17409015545387233,0.14279236834834103,0.17967006828819118,0.1506971807628525,0.15293739342706833,0.1314779309782165,0.12078510594845816,0.09619621089734162,0.08753341817356723,0.045782802865211934,0.014580270946724297,-0.0037709398831440445,-0.005103589862217605,-0.06162757572880077,0.0850407061754247,0.1477336464519916,-0.10525374745212278,-0.09854531537893998,-0.20386379317342443,-0.3302018146487753,-0.41004457006196326,-0.4249007578491518,-0.30796590832830006,-0.333837099160272,-0.2711780326242376,-0.20555415211198905,-0.1661336555089664,-0.07590456401805551,-0.085252870950923,-0.15159797739208528,-0.19663684821617058,-0.15670988840758476
1970-12-01,3.642,3.572,4.583,5.855,6.76,7.317,8.318999999999999,9.619,10.612,11.504,12.934,13.091,13.481,13.029000000000002,13.216,12.984000000000002,12.935,11.657,9.334,8.47,7.267,7.232,6.239,4.623,2.435,1.086,1.075,1.249,1.436,1.6269999999999998,1.997,2.253,2.46,2.242,3.132,3.325,0.019148510893463817,-0.0789937344758533,0.07474129170750508,0.23049891497722458,0.2615235322658905,0.23389092348807283,0.21108565207484098,0.20653887055872164,0.16026383029294664,0.1135183361529852,0.11195545928408152,0.031062728150618765,0.002476583995318571,-0.053835042269530606,-0.04479112819215588,-0.02638519846768268,0.050530553152421546,0.02381288782816251,-0.0861484760769624,-0.037324016742190894,-0.020131906785871078,0.1348570648836734,0.13577325217859326,0.004003588121429687,-0.23608364137328977,-0.46441092277507967,-0.40839375014954665,-0.33631364938545427,-0.29459003438627956,-0.28057982716690244,-0.20467866635498647,-0.18127093471528788,-0.1740387141981256,-0.27270419317075933,0.015170625497643146,0.12427688304433189
1971-01-01,-9999.0,-9999.0,4.9060000000000015,6.129,7.061,7.826,10.872,12.232,13.316,14.183,16.77,16.771,17.465,15.821,13.666,14.188,15.23,15.299,12.947,10.22,9.471,9.155,8.262,7.677,4.7780000000000005,3.472,2.173,1.89,1.496,1.336,1.506,1.847,1.4980000000000002,1.588,2.234,-9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-02-01,-9999.0,-9999.0,3.672,3.684,4.651,5.791,6.837999999999999,8.611,9.814,11.475,13.098,14.07,14.057,15.948,15.985,14.5,13.630999999999998,13.277,12.523,10.873,10.785,10.805,8.851,9.265,6.296,2.299,1.557,1.402,1.651,2.011,2.086,2.276,2.559,3.049,3.237,3.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-03-01,4.743,5.263,5.573,6.2810000000000015,6.47,7.191,8.427999999999999,9.844,11.142,12.532,14.059,15.53,16.737000000000002,16.935,16.605,16.975,15.847,14.114,14.574000000000002,14.723,10.158,10.472,10.925,8.597000000000001,5.1789999999999985,2.35,2.042,2.138,2.351,2.5810000000000004,2.8510000000000004,3.2880000000000003,3.46,3.418,3.169,2.099,0.03584310040171289,0.033315077552622946,0.023442237881699905,0.07297743942066696,-0.000241440919407076,-0.009671801433985853,0.0317999571511644,0.07465049159746985,0.09077559411635125,0.09399819223753372,0.1092770151540304,0.11856044463918083,0.12203508664118255,0.08208413813851384,0.0475046458508018,0.08692897209975532,0.07568406122151729,0.048981323489791714,0.2024483776318255,0.3619848981841591,0.01933155913090565,0.10113737929584124,0.178143682305603,0.04271361862984906,-0.01821843960427355,-0.14398245467584397,-0.13151039359194758,-0.09437958330024086,-0.08548089079062526,-0.08611557811186014,-0.07311555576627396,-0.016268372040839307,-0.015530527563722486,-0.050104795099526415,-0.11001895668047462,-0.384258099213455
