,linear_pre,linear_post,post_const,pre_const,gap_const,enso,qboA,qboB,solar,pre_tropop,temp_sur,AO,NOI,EA,AOD
1974-03,-2.2839620252298127,0.0,0.0,1.0,0.0,-1.743,-1.1545744264740563,-0.7081040646360057,-0.9107229100521966,,,,,,
1974-04,-2.2754745135081484,0.0,0.0,1.0,0.0,-1.62,-1.2903810623829164,-0.4853303989450103,-0.7315000970119884,,,,,,
1974-05,-2.267260792487183,0.0,0.0,1.0,0.0,-1.048,-1.327158952655053,-0.0281954825373258,-0.6036656168232578,,,,,,
1974-06,-2.258773280765519,0.0,0.0,1.0,0.0,-0.6940000000000001,-1.021320348756387,0.6464479699013093,-0.6816408735840142,,,,,,
1974-07,-2.2505595597445534,0.0,0.0,1.0,0.0,-0.75,-0.8803010777933915,1.0703176369101681,-0.5399604940422139,,,,,,
1974-08,-2.242072048022889,0.0,0.0,1.0,0.0,-0.664,-0.7937112538548711,1.3203985956642588,-0.7666696137525811,,,,,,
1974-09,-2.2335845363012248,0.0,0.0,1.0,0.0,-0.628,-0.6793498040383924,1.4046889299558192,-0.6874939128559939,,,,,,
1974-10,-2.225370815280259,0.0,0.0,1.0,0.0,-1.05,-0.3275835133375783,1.489396011708478,-0.5068841789209916,,,,,,
1974-11,-2.216883303558595,0.0,0.0,1.0,0.0,-1.24,0.20851452811296972,1.5260910977333233,-0.6967431601006038,,,,,,
1974-12,-2.2086695825376292,0.0,0.0,1.0,0.0,-0.8859999999999999,0.8083498435280686,1.4332075551851784,-0.9072963996062353,,,,,,
1975-01,-2.200182070815965,0.0,0.0,1.0,0.0,-0.522,0.8074948795326069,1.3854059566153745,-0.9849872793095722,,,,,,
1975-02,-2.1916945590943007,0.0,0.0,1.0,0.0,-0.5760000000000001,0.9531296376079851,1.1844506747316204,-1.0420466700959334,,,,,,
1975-03,-2.184028419474733,0.0,0.0,1.0,0.0,-0.85,1.0899415867214537,0.9350133842683193,-1.057573357736272,,,,,,
1975-04,-2.175540907753068,0.0,0.0,1.0,0.0,-0.927,1.3583285852784839,0.39123434670685464,-1.0666407901408919,,,,,,
1975-05,-2.167327186732103,0.0,0.0,1.0,0.0,-0.838,1.438484819876077,0.05209065853448437,-1.058132788013164,,,,,,
1975-06,-2.158839675010438,0.0,0.0,1.0,0.0,-1.148,1.4255375784884892,-0.4654476142856567,-1.0517552828565973,,,,,,
1975-07,-2.150625953989473,0.0,0.0,1.0,0.0,-1.4969999999999999,1.3266137576976902,-0.7616391696607538,-0.8828213249922229,,,,,,
1975-08,-2.1421384422678083,0.0,0.0,1.0,0.0,-1.712,1.1540164739135736,-0.8585151966454803,-0.6015677532849136,,,,,,
1975-09,-2.133650930546144,0.0,0.0,1.0,0.0,-1.876,1.0971888173890583,-0.8690766852067434,-0.8672761561730944,,,,,,
1975-10,-2.1254372095251783,0.0,0.0,1.0,0.0,-1.9780000000000002,0.9774194579715451,-0.9344128525952486,-0.9793230477560432,,,,,,
1975-11,-2.116949697803514,0.0,0.0,1.0,0.0,-1.756,0.8347218632992004,-1.0697389637197199,-0.896974910997583,,,,,,
1975-12,-2.1087359767825484,0.0,0.0,1.0,0.0,-1.732,0.7888466349814947,-1.1162674869167115,-1.0440771023062594,,,,,,
1976-01,-2.100248465060884,0.0,0.0,1.0,0.0,-1.587,0.6463981489347252,-1.075328492090547,-1.0423988114755838,,,,,,
1976-02,-2.09176095333922,0.0,0.0,1.0,0.0,-1.3659999999999999,0.6577533360614918,-1.1076200511500318,-1.1183438829010344,,,,,,
1976-03,-2.0838210230189533,0.0,0.0,1.0,0.0,-1.213,0.39965558253631506,-1.201982664973456,-0.9656869347568078,,,,,,
1976-04,-2.0753335112972886,0.0,0.0,1.0,0.0,-1.157,-0.007776800274455795,-1.158120279050987,-0.9465450954491629,,,,,,
