ind,enso_mei
1988-10-01,-1.328
1988-11-01,-1.453
1988-12-01,-1.311
1989-01-01,-1.103
1989-02-01,-1.2409999999999999
1989-03-01,-1.035
1989-04-01,-0.76
1989-05-01,-0.39299999999999996
1989-06-01,-0.242
1989-07-01,-0.43
1989-08-01,-0.494
1989-09-01,-0.315
1989-10-01,-0.342
1989-11-01,-0.073
1989-12-01,0.131
1990-01-01,0.243
1990-02-01,0.573
1990-03-01,0.951
1990-04-01,0.46
1990-05-01,0.652
1990-06-01,0.511
1990-07-01,0.147
1990-08-01,0.127
1990-09-01,0.366
1990-10-01,0.273
1990-11-01,0.38299999999999995
1990-12-01,0.36200000000000004
1991-01-01,0.319
1991-02-01,0.32299999999999995
1991-03-01,0.39899999999999997
1991-04-01,0.449
1991-05-01,0.741
1991-06-01,1.051
1991-07-01,1.044
1991-08-01,1.008
1991-09-01,0.7390000000000001
1991-10-01,0.99
1991-11-01,1.172
1991-12-01,1.34
1992-01-01,1.7469999999999999
1992-02-01,1.886
1992-03-01,1.985
1992-04-01,2.247
1992-05-01,2.085
1992-06-01,1.735
1992-07-01,1.045
1992-08-01,0.5589999999999999
1992-09-01,0.488
1992-10-01,0.624
1992-11-01,0.569
1992-12-01,0.664
1993-01-01,0.6920000000000001
1993-02-01,0.99
1993-03-01,0.987
1993-04-01,1.4080000000000001
1993-05-01,1.993
1993-06-01,1.6159999999999999
1993-07-01,1.204
1993-08-01,1.026
1993-09-01,0.966
1993-10-01,1.045
1993-11-01,0.8220000000000001
1993-12-01,0.595
1994-01-01,0.35200000000000004
1994-02-01,0.193
1994-03-01,0.159
1994-04-01,0.465
1994-05-01,0.58
1994-06-01,0.8029999999999999
1994-07-01,0.904
1994-08-01,0.762
1994-09-01,0.893
1994-10-01,1.389
1994-11-01,1.2819999999999998
1994-12-01,1.251
1995-01-01,1.219
1995-02-01,0.9590000000000001
1995-03-01,0.845
1995-04-01,0.45299999999999996
1995-05-01,0.57
1995-06-01,0.507
1995-07-01,0.23399999999999999
1995-08-01,-0.147
1995-09-01,-0.445
1995-10-01,-0.48100000000000004
1995-11-01,-0.474
1995-12-01,-0.537
1996-01-01,-0.597
1996-02-01,-0.5660000000000001
1996-03-01,-0.23600000000000002
1996-04-01,-0.391
1996-05-01,-0.040999999999999995
1996-06-01,0.087
1996-07-01,-0.17300000000000001
1996-08-01,-0.374
1996-09-01,-0.457
1996-10-01,-0.359
1996-11-01,-0.149
1996-12-01,-0.325
1997-01-01,-0.48
1997-02-01,-0.605
1997-03-01,-0.248
1997-04-01,0.527
1997-05-01,1.1320000000000001
1997-06-01,2.275
1997-07-01,2.825
1997-08-01,3.002
1997-09-01,2.99
1997-10-01,2.3609999999999998
1997-11-01,2.516
1997-12-01,2.344
1998-01-01,2.455
1998-02-01,2.7769999999999997
1998-03-01,2.7510000000000003
1998-04-01,2.658
1998-05-01,2.206
